type,area,neighborhood,latitude,longitude,age,floor,bedrooms,price,sqmprice,zone,street,elevator,parking,storage,yard,balcony,reconstructed
0,125.0,1,36.3737765,59.47582,0.0,1.0,3.0,4000000000,32000000.0,12.0,29,1,1,1,1,0,0
0,160.0,0,36.32754,59.52752,0.0,1.0,3.0,8000000000,50000000.0,11.0,7,1,1,1,0,0,0
0,92.0,18,36.27278,59.60273,0.0,2.0,2.0,5980000000,65000000.0,8.0,31,1,1,1,0,0,0
0,49.0,1,36.3737765,59.47582,15.0,1.0,1.0,1670000000,34081632.0,12.0,29,0,0,0,0,0,1
0,106.0,1,36.3737765,59.47582,0.0,3.0,2.0,3700000000,34905660.0,12.0,29,1,1,1,0,0,0
0,75.0,9,36.29603,59.6437,1.0,1.0,2.0,2100000000,28000000.0,4.0,196,1,1,0,0,0,0
0,155.0,2,36.33183891914909,59.50350991234309,0.0,2.0,3.0,7500000000,48387096.0,11.0,91,1,1,1,0,0,0
0,161.0,11,36.317177,59.55403,25.0,5.0,3.0,7100000000,44099378.0,1.0,116,1,1,1,0,0,1
0,120.0,1,36.3737765,59.47582,0.0,2.0,2.0,4700000000,39166666.0,12.0,29,1,1,1,0,0,0
1,300.0,13,36.30783,59.626167,30.0,0.0,5.0,14800000000,49333333.0,2.0,253,0,1,1,0,1,0
0,180.0,1,36.3737765,59.47582,5.0,4.0,3.0,4860000000,27000000.0,12.0,29,1,1,1,0,0,0
0,82.0,1,36.366668563207,59.467102679925,8.0,3.0,2.0,2160000000,26341463.0,12.0,29,1,1,1,0,0,1
0,110.0,1,36.3737765,59.47582,7.0,4.0,3.0,2750000000,25000000.0,12.0,29,1,1,1,0,0,0
0,105.0,1,36.390412005912,59.474456866782,0.0,4.0,2.0,3700000000,35238095.0,12.0,35,1,1,1,0,0,0
0,102.0,0,36.342323,59.532955,0.0,5.0,2.0,4600000000,45098039.0,11.0,7,1,1,1,0,0,0
0,137.0,4,36.27604529311827,59.61728154936996,1.0,5.0,3.0,6165000000,45000000.0,7.0,233,1,1,1,0,0,0
0,240.0,11,36.31803637201696,59.55147485505697,12.0,4.0,3.0,12500000000,52083333.0,1.0,116,1,1,1,0,0,0
0,165.0,18,36.27278,59.60273,0.0,6.0,3.0,10000000000,60606060.0,8.0,31,1,1,1,0,0,1
0,277.0,17,36.316162540025,59.519312381744,0.0,2.0,4.0,25000000000,90252707.0,9.0,257,1,1,1,0,0,0
0,200.0,5,36.33234062414125,59.48554209952649,0.0,1.0,3.0,10000000000,50000000.0,9.0,150,1,1,1,0,0,1
0,133.0,17,36.31381112631327,59.50007725445739,2.0,4.0,3.0,7950000000,59774436.0,9.0,234,1,1,1,0,0,0
0,125.0,18,36.27278,59.60273,3.0,2.0,2.0,6700000000,53600000.0,8.0,31,1,1,1,0,0,0
1,160.0,13,36.30177,59.60844,12.0,0.0,3.0,3500000000,21875000.0,2.0,153,0,1,1,0,1,1
0,120.0,11,36.31803637201696,59.55147485505697,0.0,8.0,2.0,14000000000,116666666.0,1.0,116,1,1,1,0,0,0
0,60.0,10,36.29008578096397,59.50294589843005,14.0,1.0,1.0,1600000000,26666666.0,9.0,118,0,0,0,0,0,1
0,122.0,3,36.36002,59.5174,10.0,1.0,3.0,3416000000,28000000.0,10.0,178,1,1,1,0,0,0
0,175.0,0,36.32754,59.52752,0.0,4.0,3.0,9200000000,52571428.0,11.0,7,1,1,1,0,0,0
0,125.0,8,36.2910848,59.5651861,14.0,3.0,3.0,4000000000,32000000.0,1.0,106,0,1,1,0,0,1
